"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXADR",1.72548333333333,8.78060833333333,18.2603549072737,1.31878556770883e-09,9.31102124976746e-08,12.6182843331767
"HSD17B3",2.22093333333333,9.16856666666667,18.244348061227,1.33125065750599e-09,9.36395751665877e-08,12.6085110867873
"CDH10",2.10785,6.86658166666667,18.2282323828203,1.34393007132678e-09,9.4180021466844e-08,12.598662529475
"CORO2B",-1.51624666666667,8.16679,-18.2056353072568,1.36193062360632e-09,9.50879784651955e-08,12.5848380825997
"RAB3B",1.49687,9.11511833333333,18.1542372925985,1.40385794954476e-09,9.73352574534669e-08,12.5533283837681
"LMF1",1.25134333333333,9.13636166666667,18.1535297113259,1.40444485848724e-09,9.73352574534669e-08,12.5528939635184
"ITGB5",-1.24763333333334,10.8047833333333,-18.1196439909236,1.4328664871536e-09,9.89412679462733e-08,12.532069528635
"TRIP13",-1.73812666666667,10.54317,-18.1108068063873,1.44038110257203e-09,9.9097168483888e-08,12.5266321108249
"PLPP3",1.49621666666667,10.7193583333333,18.1022951112226,1.44765948241509e-09,9.92357414654795e-08,12.5213924026748
"HIVEP3",-1.32605333333333,8.55911333333333,-18.0832596035924,1.46408199432356e-09,9.97680352101068e-08,12.5096652466405
"SLFN11",-1.74752,8.82873,-18.0796719141457,1.46719983829319e-09,9.97680352101068e-08,12.507453577828
"ARID5B",1.3103,10.4074166666667,18.0749641993381,1.47130198866955e-09,9.97680352101068e-08,12.5045507784998
"FANCI",-1.52937333333333,10.32008,-18.0522319198472,1.4912864919634e-09,1.00333676594387e-07,12.4905230886068
"CTPS1",-1.46318,10.3197766666667,-18.0520872430452,1.49141462251208e-09,1.00333676594387e-07,12.4904337534311
"CENPK",-1.64323,9.780285,-18.047356410017,1.49561100859492e-09,1.00333676594387e-07,12.4875121517306
"CDCA7",-1.96435,7.989835,-18.0385455884661,1.50346073482835e-09,1.00502618128543e-07,12.4820688062543
"TICRR",-1.83665,10.0693083333333,-17.997234264735,1.54086819917658e-09,1.02590468864143e-07,12.4565103897694
"GALNT14",-1.54934,9.12107666666667,-17.9921102536069,1.54557812091754e-09,1.02590468864143e-07,12.4533361099766
"DNAJC1",1.20825666666667,10.1094716666667,17.9614052278335,1.57413186817541e-09,1.03827031757889e-07,12.4342953083177
"CENPU",-1.23534333333334,9.89126166666667,-17.9602438023943,1.57522312252699e-09,1.03827031757889e-07,12.4335744347877
"IL1RAP",-1.52134666666667,8.03617666666667,-17.950511602264,1.58439972240939e-09,1.04057878936482e-07,12.4275319874574
"PLSCR4",1.24539666666667,7.75232166666667,17.9441307972763,1.59044780270296e-09,1.04057878936482e-07,12.4235685163566
"HK2",-1.29220333333333,10.070365,-17.939045927079,1.59528550276608e-09,1.04057878936482e-07,12.4204089949613
"TANC2",1.50793333333333,10.3311333333333,17.9110951749065,1.62216498111717e-09,1.05446317444965e-07,12.4030253021576
"TRIM2",1.38883333333333,11.2262833333333,17.8991209558339,1.63383062955987e-09,1.05643553617403e-07,12.395569610263
"EFEMP2",1.46744,8.67483666666667,17.8934789630477,1.63935882691094e-09,1.05643553617403e-07,12.3920548913181
"ABCC2",1.36376666666667,10.97965,17.8907788973828,1.64201162855547e-09,1.05643553617403e-07,12.3903724677502
"PRIM1",-1.36015666666666,10.2948883333333,-17.8613830943473,1.67119691360086e-09,1.07020911979027e-07,12.3720390824523
"CLYBL",1.49693666666667,7.40054166666667,17.8578184300431,1.67477423127755e-09,1.07020911979027e-07,12.3698138106624
"CLU",1.50474,8.74944666666667,17.846224797744,1.68646672727575e-09,1.07404000932011e-07,12.362573264847
"SLC37A3",-1.37419666666666,10.3348683333333,-17.81921728466,1.71405030659261e-09,1.08793139156826e-07,12.345687770502
"IFITM1",1.44619,9.225305,17.8021845477818,1.7316984137937e-09,1.09544452343708e-07,12.3350252806487
"MOSMO",-1.57297333333333,10.8414133333333,-17.7861337625872,1.7485100708071e-09,1.10238004497607e-07,12.3249680076334
"ADD3",1.39616666666667,11.0168166666667,17.7675448288098,1.76820233976532e-09,1.10825597157154e-07,12.3133088337378
"USP2",1.42495,8.354635,17.7662452266243,1.76958807194862e-09,1.10825597157154e-07,12.3124932466587
"DALRD3",1.28534,10.4963633333333,17.7484260846735,1.78870775236702e-09,1.11566442212742e-07,12.3013044364027
"KCNS3",1.30104333333333,8.80269833333333,17.7388549444392,1.79907009868586e-09,1.11566442212742e-07,12.2952899196454
"PKMYT1",-1.81670666666667,8.48090333333333,-17.7387607767832,1.79917237455167e-09,1.11566442212742e-07,12.2952307282172
"ICA1",1.42392666666667,7.93029666666667,17.7328269182076,1.80562993294001e-09,1.11599770051974e-07,12.2915002104599
"CDC6",-1.48754,10.5834633333333,-17.7194438616515,1.82028685285616e-09,1.12137998245723e-07,12.2830818562851
"ALPK1",1.49577333333333,8.60022666666667,17.6763176181269,1.86840521378034e-09,1.14727383338675e-07,12.2559101976767
"GNAI1",1.45604666666667,8.41381333333334,17.6655530261001,1.88063044123455e-09,1.14883517084964e-07,12.2491174953641
"PLCD4",1.83653333333333,7.69353666666667,17.657225281384,1.8901478494226e-09,1.14883517084964e-07,12.2438596212531
"HBP1",1.5513,10.02945,17.6565146350877,1.89096243773198e-09,1.14883517084964e-07,12.2434108253675
"FAT4",1.71180333333334,8.430015,17.6517918303974,1.89638572822811e-09,1.14883517084964e-07,12.2404277580377
"CLIP3",1.42460666666667,10.28243,17.6474214349261,1.90141941172929e-09,1.14883517084964e-07,12.2376665627727
"BRIP1",-1.60091666666666,9.63210833333333,-17.5945609728515,1.96346679629987e-09,1.18253394814852e-07,12.2042146258131
